epoch,acc,loss,val_acc,val_loss,,
0,0.815919828,0.443197424,0.593413533,0.746183274,0.314052497,0.479314253
1,0.99303175,0.456248731,0.381883534,0.993155041,0.436382727,0.401515939
2,0.993133143,0.457178421,0.378664702,0.993238363,0.457329651,0.385757663
3,0.993481347,0.457982169,0.377194262,0.99402523,0.462070312,0.382340692
4,0.993440765,0.456143,0.375706069,0.993746314,0.452671494,0.382582586
5,0.991154201,0.455763987,0.189672847,0.98782965,0.43791623,0.193690513
6,0.991480615,0.458724337,0.187120142,0.993241572,0.4482004,0.194714762
7,0.989558768,0.456059817,0.186782341,0.988087119,0.439744738,0.19395565
8,0.988412714,0.459180067,0.185457609,0.98774347,0.466417539,0.195166404
9,0.989248506,0.46029664,0.184476889,0.988182413,0.456136357,0.192096068
10,0.993707269,0.455385722,0.189276592,0.993591479,0.443520768,0.192979582
11,0.993781098,0.456166689,0.186424168,0.99392904,0.445546015,0.19367623412,0.9915616949399312,0.4582229012475641,0.18571580896774928,0.9883690753042635,0.4571867135045006,0.19273273158395948
13,0.9930440088113149,0.4598567460112021,0.18501686739424864,0.9941253518214707,0.4702756953347852,0.1904699651061186
14,0.9904990414778392,0.46128596748697304,0.1843937125056982,0.9870710253219327,0.45764086504177537,0.1905621613969912
